order_id,predicted_cycle_time_min,wip_level,demand_urgency,quality_status,pull_decision
O101330,34.15,5,Medium,Pass,Partial Pull
O101331,42.44,22,Medium,Pass,Partial Pull
O101332,22.82,4,High,Pass,Full Pull
O101333,45.95,6,Medium,Pass,Partial Pull
O101334,59.84,30,Medium,Pass,Partial Pull
O101335,40.08,2,High,Pass,Full Pull
O101336,41.88,29,Low,Pass,No Pull
O101337,32.58,2,High,Rework,Full Pull
O101338,46.9,15,Low,Pass,Partial Pull
O101339,46.45,18,Medium,Pass,Partial Pull
O101340,17.78,3,High,Pass,Full Pull
O101341,50.09,27,Low,Pass,No Pull
O101342,54.82,29,Low,Pass,No Pull
O101343,47.42,6,High,Pass,Partial Pull
O101344,27.57,6,Medium,Pass,Partial Pull
O101345,40.55,23,Medium,Pass,Partial Pull
O101346,36.55,11,High,Pass,Partial Pull
O101347,35.91,1,Medium,Pass,Partial Pull
O101348,39.85,23,Medium,Pass,Partial Pull
O101349,23.72,10,Medium,Pass,Partial Pull
O101350,31.97,12,Medium,Pass,Partial Pull
O101351,42.87,20,Medium,Pass,Partial Pull
O101352,35.55,17,Medium,Pass,Partial Pull
O101353,49.0,25,Low,Pass,No Pull
O101354,60.66,24,Low,Fail,No Pull
O101355,61.81,29,Low,Pass,No Pull
O101356,48.74,28,Medium,Pass,Partial Pull
O101357,57.88,19,Low,Pass,No Pull
O101358,51.27,17,Medium,Pass,Partial Pull
O101359,29.61,14,Medium,Pass,Partial Pull
O101360,54.68,20,Medium,Pass,Partial Pull
O101361,13.18,1,High,Pass,Full Pull
O101362,31.59,12,Medium,Pass,Partial Pull
O101363,14.92,8,Medium,Pass,Partial Pull
O101364,41.28,17,Medium,Pass,Partial Pull
O101365,65.59,28,Low,Pass,No Pull
O101366,48.5,14,Medium,Pass,Partial Pull
O101367,43.41,18,Medium,Pass,Partial Pull
O101368,32.79,12,Medium,Pass,Partial Pull
O101369,19.07,10,Medium,Pass,Partial Pull
O101370,43.33,21,Medium,Pass,Partial Pull
O101371,44.01,7,Medium,Pass,Partial Pull
O101372,55.41,27,Medium,Pass,Partial Pull
O101373,43.48,3,Medium,Pass,Partial Pull
O101374,41.56,6,Medium,Pass,Partial Pull
O101375,63.08,23,Medium,Pass,Partial Pull
O101376,28.27,2,High,Pass,Full Pull
O101377,36.48,12,Medium,Pass,Partial Pull
O101378,36.14,11,Medium,Pass,Partial Pull
O101379,58.99,29,Medium,Pass,Partial Pull
O101380,37.64,4,High,Pass,Full Pull
O101381,31.32,14,Medium,Pass,Partial Pull
O101382,33.69,14,Medium,Pass,Partial Pull
O101383,49.53,25,Low,Pass,No Pull
O101384,54.51,16,Medium,Pass,Partial Pull
O101385,24.59,4,High,Pass,Full Pull
O101386,36.27,26,Low,Pass,No Pull
O101387,30.55,4,Medium,Pass,Partial Pull
O101388,40.36,21,Medium,Pass,Partial Pull
O101389,30.21,8,High,Pass,Full Pull
O101390,27.03,3,High,Rework,Full Pull
O101391,23.48,5,Medium,Pass,Partial Pull
O101392,35.61,29,Medium,Pass,Partial Pull
O101393,45.37,30,Medium,Pass,Partial Pull
O101394,40.29,18,Medium,Pass,Partial Pull
O101395,62.13,25,Medium,Pass,Partial Pull
O101396,61.89,27,Medium,Pass,Partial Pull
O101397,59.48,10,High,Pass,Partial Pull
O101398,51.53,23,Medium,Pass,Partial Pull
O101399,35.66,16,Medium,Pass,Partial Pull
O101400,27.26,5,High,Pass,Full Pull
O101401,46.03,16,Low,Fail,No Pull
O101402,31.08,1,High,Pass,Full Pull
O101403,54.51,18,Medium,Pass,Partial Pull
O101404,23.33,8,Medium,Pass,Partial Pull
O101405,26.72,3,Medium,Pass,Partial Pull
O101406,53.81,21,Medium,Pass,Partial Pull
O101407,27.4,10,Medium,Pass,Partial Pull
O101408,40.07,13,Medium,Pass,Partial Pull
O101409,17.51,2,High,Rework,Full Pull
O101410,29.86,2,Medium,Pass,Partial Pull
O101411,65.02,28,Low,Pass,No Pull
O101412,40.24,18,Medium,Pass,Partial Pull
O101413,30.1,12,Medium,Pass,Partial Pull
O101414,39.38,20,Medium,Pass,Partial Pull
O101415,47.34,22,Medium,Pass,Partial Pull
O101416,25.27,3,Medium,Pass,Partial Pull
O101417,36.08,28,Low,Pass,No Pull
O101418,70.18,20,Medium,Rework,Partial Pull
O101419,59.25,9,High,Pass,Partial Pull
O101420,28.92,8,Medium,Pass,Partial Pull
O101421,28.39,2,High,Rework,Full Pull
O101422,23.88,7,High,Rework,Full Pull
O101423,23.16,10,Medium,Pass,Partial Pull
O101424,27.19,6,Medium,Pass,Partial Pull
O101425,44.83,20,Medium,Pass,Partial Pull
O101426,43.02,7,Medium,Pass,Partial Pull
O101427,27.2,15,Medium,Pass,Partial Pull
O101428,48.29,17,Medium,Pass,Partial Pull
O101429,25.06,2,High,Pass,Full Pull
O101430,27.26,5,High,Fail,No Pull
O101431,22.15,2,High,Pass,Full Pull
O101432,36.94,21,Medium,Rework,Partial Pull
O101433,49.66,21,Medium,Pass,Partial Pull
O101434,18.12,4,Medium,Pass,Partial Pull
O101435,53.7,22,Medium,Pass,Partial Pull
O101436,49.5,25,Low,Pass,No Pull
O101437,16.2,3,High,Pass,Full Pull
O101438,48.9,3,High,Pass,Partial Pull
O101439,71.37,24,Low,Rework,No Pull
O101440,28.14,9,Medium,Pass,Partial Pull
O101441,32.47,10,Medium,Pass,Partial Pull
O101442,29.87,18,Medium,Pass,Partial Pull
O101443,24.92,2,Medium,Pass,Partial Pull
O101444,36.45,13,High,Pass,Partial Pull
O101445,49.21,10,High,Pass,Partial Pull
O101446,56.68,25,Medium,Pass,Partial Pull
O101447,35.17,22,Low,Pass,No Pull
O101448,25.88,8,High,Pass,Full Pull
O101449,33.89,20,Low,Pass,No Pull
O101450,19.45,12,Medium,Pass,Partial Pull
O101451,31.81,14,Medium,Pass,Partial Pull
O101452,53.29,22,Medium,Pass,Partial Pull
O101453,36.24,8,High,Pass,Full Pull
O101454,43.79,17,Medium,Pass,Partial Pull
O101455,36.09,12,Medium,Rework,Partial Pull
O101456,62.99,20,Medium,Pass,Partial Pull
O101457,33.35,11,Medium,Pass,Partial Pull
O101458,52.0,28,Medium,Pass,Partial Pull
O101459,41.94,12,Medium,Pass,Partial Pull
O101460,32.23,3,Medium,Pass,Partial Pull
O101461,38.83,15,Medium,Pass,Partial Pull
O101462,21.71,7,Medium,Rework,Partial Pull
O101463,29.45,14,Medium,Rework,Partial Pull
O101464,35.81,28,Low,Pass,No Pull
O101465,21.36,3,High,Pass,Full Pull
O101466,18.68,1,High,Pass,Full Pull
O101467,19.72,8,High,Pass,Full Pull
O101468,45.34,13,Medium,Pass,Partial Pull
O101469,14.31,4,Medium,Pass,Partial Pull
O101470,44.47,21,Medium,Pass,Partial Pull
O101471,51.2,18,Medium,Pass,Partial Pull
O101472,52.62,21,Medium,Pass,Partial Pull
O101473,45.34,13,Medium,Pass,Partial Pull
O101474,45.98,28,Medium,Pass,Partial Pull
O101475,57.58,20,Medium,Pass,Partial Pull
O101476,44.12,28,Low,Pass,No Pull
O101477,29.78,2,High,Pass,Full Pull
O101478,30.15,20,Low,Pass,No Pull
O101479,29.29,10,Medium,Pass,Partial Pull
O101480,30.01,5,Medium,Pass,Partial Pull
O101481,16.99,5,Medium,Pass,Partial Pull
O101482,34.97,6,Medium,Pass,Partial Pull
O101483,13.33,2,High,Pass,Full Pull
O101484,26.0,14,Medium,Pass,Partial Pull
O101485,27.99,23,Medium,Pass,Partial Pull
O101486,57.16,14,Medium,Fail,No Pull
O101487,35.28,4,High,Rework,Full Pull
O101488,74.03,21,Medium,Rework,Partial Pull
O101489,21.46,5,High,Pass,Full Pull
O101490,44.47,26,Low,Pass,No Pull
O101491,34.53,11,Medium,Pass,Partial Pull
O101492,28.91,0,High,Pass,Full Pull
O101493,39.09,9,Medium,Pass,Partial Pull
O101494,40.41,25,Low,Fail,No Pull
O101495,56.04,28,Medium,Pass,Partial Pull
O101496,31.89,13,Medium,Pass,Partial Pull
O101497,41.12,30,Low,Fail,No Pull
O101498,29.55,7,High,Pass,Full Pull
O101499,49.43,13,Medium,Pass,Partial Pull
O101500,32.56,14,Medium,Pass,Partial Pull
O101501,22.49,6,Medium,Pass,Partial Pull
O101502,35.35,11,Medium,Pass,Partial Pull
O101503,25.06,15,Medium,Pass,Partial Pull
O101504,60.76,21,Medium,Pass,Partial Pull
O101505,49.14,15,Medium,Pass,Partial Pull
O101506,28.28,3,High,Rework,Full Pull
O101507,34.6,14,Medium,Pass,Partial Pull
O101508,58.84,26,Low,Pass,No Pull
O101509,25.78,0,Medium,Pass,Partial Pull
O101510,50.44,30,Low,Rework,No Pull
O101511,28.74,3,Medium,Pass,Partial Pull
O101512,18.33,0,High,Pass,Full Pull
O101513,14.32,4,High,Rework,Full Pull
O101514,37.27,7,High,Pass,Full Pull
O101515,37.11,10,High,Pass,Partial Pull
O101516,55.16,25,Low,Fail,No Pull
O101517,57.28,18,Medium,Pass,Partial Pull
O101518,40.01,19,Medium,Pass,Partial Pull
O101519,53.15,27,Low,Rework,No Pull
O101520,19.8,4,Medium,Rework,Partial Pull
O101521,21.54,6,High,Fail,No Pull
O101522,64.23,30,Low,Fail,No Pull
O101523,38.82,23,Medium,Pass,Partial Pull
O101524,34.2,1,High,Rework,Full Pull
O101525,29.49,7,High,Pass,Full Pull
O101526,26.22,11,Medium,Pass,Partial Pull
O101527,20.98,1,High,Pass,Full Pull
O101528,46.75,18,Medium,Pass,Partial Pull
O101529,40.07,20,Medium,Pass,Partial Pull
O101530,30.98,10,High,Pass,Partial Pull
O101531,20.21,6,High,Pass,Full Pull
O101532,46.54,13,Medium,Pass,Partial Pull
O101533,66.28,28,Low,Pass,No Pull
O101534,32.61,22,Medium,Fail,No Pull
O101535,52.81,28,Low,Pass,No Pull
O101536,27.87,17,Medium,Pass,Partial Pull
O101537,39.96,3,Medium,Pass,Partial Pull
O101538,27.16,1,High,Fail,No Pull
O101539,10.52,6,High,Pass,Full Pull
O101540,52.62,16,High,Pass,Partial Pull
O101541,30.68,6,High,Pass,Full Pull
O101542,42.62,9,Medium,Pass,Partial Pull
O101543,51.25,28,Medium,Fail,No Pull
O101544,22.94,1,High,Pass,Full Pull
O101545,10.33,2,High,Pass,Full Pull
O101546,26.83,12,Medium,Pass,Partial Pull
O101547,22.09,23,Medium,Pass,Partial Pull
O101548,47.91,25,Low,Rework,No Pull
O101549,29.41,8,High,Pass,Full Pull
O101550,29.37,9,High,Pass,Partial Pull
O101551,30.47,18,High,Pass,Partial Pull
O101552,42.54,26,Low,Pass,No Pull
O101553,32.95,5,Medium,Pass,Partial Pull
O101554,62.1,27,Low,Pass,No Pull
O101555,58.44,25,Medium,Pass,Partial Pull
O101556,29.4,8,Medium,Pass,Partial Pull
O101557,70.14,20,Medium,Pass,Partial Pull
O101558,42.47,19,Medium,Pass,Partial Pull
O101559,37.07,0,High,Pass,Full Pull
O101560,55.39,12,Medium,Rework,Partial Pull
O101561,44.85,7,High,Pass,Full Pull
O101562,39.79,2,High,Pass,Full Pull
O101563,39.75,14,Medium,Pass,Partial Pull
O101564,57.11,21,Medium,Pass,Partial Pull
O101565,27.87,16,Medium,Pass,Partial Pull
O101566,26.08,2,Medium,Pass,Partial Pull
O101567,65.66,25,Medium,Pass,Partial Pull
O101568,16.28,2,High,Pass,Full Pull
O101569,39.66,11,Medium,Pass,Partial Pull
O101570,54.95,17,Medium,Pass,Partial Pull
O101571,78.95,28,Low,Rework,No Pull
O101572,45.17,23,Medium,Pass,Partial Pull
O101573,47.5,6,Medium,Fail,No Pull
O101574,41.33,13,High,Pass,Partial Pull
O101575,28.89,26,Low,Pass,No Pull
O101576,44.73,7,High,Pass,Full Pull
O101577,53.58,28,Low,Rework,No Pull
O101578,39.41,16,Medium,Fail,No Pull
O101579,58.08,19,Medium,Pass,Partial Pull
O101580,54.38,20,Medium,Pass,Partial Pull
O101581,55.51,29,Low,Pass,No Pull
O101582,45.26,21,Medium,Pass,Partial Pull
O101583,32.93,12,High,Pass,Partial Pull
O101584,32.79,18,High,Pass,Partial Pull
O101585,60.03,21,Medium,Pass,Partial Pull
O101586,41.25,18,Medium,Pass,Partial Pull
O101587,14.13,0,High,Pass,Full Pull
O101588,35.05,27,Medium,Pass,Partial Pull
O101589,46.6,8,High,Pass,Partial Pull
O101590,53.79,20,Medium,Pass,Partial Pull
O101591,34.72,17,Low,Pass,Partial Pull
O101592,45.96,3,High,Pass,Full Pull
O101593,40.94,27,Medium,Pass,Partial Pull
O101594,21.45,2,Medium,Pass,Partial Pull
O101595,60.79,29,Low,Pass,No Pull
O101596,55.17,28,Low,Pass,No Pull
O101597,32.37,17,Medium,Pass,Partial Pull
O101598,65.53,29,Low,Pass,No Pull
O101599,36.76,26,Medium,Pass,Partial Pull
O101600,65.66,27,Medium,Pass,Partial Pull
O101601,68.4,24,Medium,Pass,Partial Pull
O101602,27.91,28,Low,Pass,No Pull
O101603,75.7,23,Medium,Pass,Partial Pull
O101604,34.0,27,Low,Pass,No Pull
O101605,30.43,3,Medium,Pass,Partial Pull
O101606,32.03,13,Medium,Rework,Partial Pull
O101607,34.84,14,Medium,Pass,Partial Pull
O101608,42.76,28,Medium,Pass,Partial Pull
O101609,35.74,15,Medium,Pass,Partial Pull
O101610,22.66,13,Medium,Pass,Partial Pull
O101611,41.36,24,Low,Pass,No Pull
O101612,37.69,20,Medium,Pass,Partial Pull
O101613,46.0,18,Medium,Pass,Partial Pull
O101614,71.36,28,Low,Pass,No Pull
O101615,32.67,25,Medium,Pass,Partial Pull
O101616,42.81,22,Medium,Pass,Partial Pull
O101617,76.46,29,Medium,Pass,Partial Pull
O101618,33.14,1,High,Rework,Full Pull
O101619,46.07,17,Medium,Pass,Partial Pull
O101620,27.35,0,High,Pass,Full Pull
O101621,35.28,24,Low,Pass,No Pull
O101622,31.8,3,High,Pass,Full Pull
O101623,19.02,17,Medium,Pass,Partial Pull
O101624,30.42,24,Medium,Pass,Partial Pull
O101625,47.81,19,Low,Pass,No Pull
O101626,13.71,1,High,Pass,Full Pull
O101627,46.47,14,High,Fail,No Pull
O101628,68.94,24,Medium,Pass,Partial Pull
O101629,71.2,29,Medium,Pass,Partial Pull
O101630,73.95,27,Medium,Fail,No Pull
O101631,41.4,25,Medium,Pass,Partial Pull
O101632,18.25,9,Medium,Pass,Partial Pull
O101633,49.46,23,Low,Pass,No Pull
O101634,38.55,5,High,Pass,Full Pull
O101635,39.53,10,Medium,Pass,Partial Pull
O101636,43.09,8,High,Pass,Full Pull
O101637,39.95,15,Medium,Pass,Partial Pull
O101638,47.72,27,Low,Pass,No Pull
O101639,61.91,26,Low,Pass,No Pull
O101640,72.06,27,Medium,Pass,Partial Pull
O101641,56.92,29,Medium,Pass,Partial Pull
O101642,14.5,0,High,Pass,Full Pull
O101643,56.33,30,Low,Pass,No Pull
O101644,43.42,27,Low,Fail,No Pull
O101645,47.1,22,Low,Pass,No Pull
O101646,13.32,2,High,Pass,Full Pull
O101647,65.7,22,Low,Pass,No Pull
O101648,41.1,20,Low,Pass,No Pull
O101649,27.4,2,High,Pass,Full Pull
O101650,18.5,6,Medium,Pass,Partial Pull
O101651,42.73,23,Medium,Pass,Partial Pull
O101652,20.03,5,Medium,Pass,Partial Pull
O101653,19.68,10,High,Pass,Partial Pull
O101654,36.2,18,Medium,Pass,Partial Pull
O101655,44.32,26,Medium,Pass,Partial Pull
O101656,23.04,8,Medium,Pass,Partial Pull
O101657,40.11,0,High,Fail,No Pull
O101658,41.55,26,Low,Pass,No Pull
O101659,67.32,28,Low,Pass,No Pull
O101660,35.66,26,Medium,Pass,Partial Pull
O101661,48.48,15,High,Pass,Partial Pull
O101662,41.44,22,Medium,Pass,Partial Pull
O101663,38.5,3,High,Pass,Full Pull
O101664,55.82,19,Low,Pass,No Pull
O101665,43.83,18,Medium,Pass,Partial Pull
O101666,31.01,19,Low,Pass,No Pull
O101667,51.73,21,Low,Pass,No Pull
O101668,29.22,27,Low,Pass,No Pull
O101669,71.23,24,Low,Pass,No Pull
O101670,30.6,1,Medium,Pass,Partial Pull
O101671,60.24,21,Medium,Pass,Partial Pull
O101672,52.99,22,Medium,Pass,Partial Pull
O101673,55.01,17,Medium,Pass,Partial Pull
O101674,55.34,19,Medium,Pass,Partial Pull
O101675,32.4,2,Medium,Pass,Partial Pull
O101676,35.92,8,Medium,Pass,Partial Pull
O101677,33.64,26,Low,Pass,No Pull
O101678,16.99,0,High,Pass,Full Pull
O101679,54.91,30,Medium,Pass,Partial Pull
O101680,46.28,6,High,Pass,Full Pull
O101681,56.41,24,Medium,Pass,Partial Pull
O101682,31.88,6,High,Pass,Full Pull
O101683,41.94,1,High,Pass,Full Pull
O101684,38.01,18,Medium,Pass,Partial Pull
O101685,51.16,23,Medium,Pass,Partial Pull
O101686,26.35,2,Medium,Pass,Partial Pull
O101687,29.54,8,Medium,Pass,Partial Pull
O101688,34.53,9,High,Rework,Partial Pull
O101689,67.14,29,Medium,Pass,Partial Pull
O101690,27.81,9,Medium,Pass,Partial Pull
O101691,32.02,1,High,Pass,Full Pull
O101692,32.75,30,Medium,Pass,Partial Pull
O101693,19.28,2,High,Pass,Full Pull
O101694,37.0,15,Medium,Pass,Partial Pull
O101695,29.24,5,Medium,Pass,Partial Pull
O101696,40.31,7,Medium,Pass,Partial Pull
O101697,53.66,23,Medium,Pass,Partial Pull
O101698,34.87,4,Medium,Pass,Partial Pull
O101699,62.11,20,Medium,Pass,Partial Pull
O101700,31.56,17,High,Pass,Partial Pull
O101701,41.5,22,Low,Pass,No Pull
O101702,19.66,4,High,Pass,Full Pull
O101703,20.53,10,High,Pass,Partial Pull
O101704,24.91,0,Medium,Pass,Partial Pull
O101705,60.79,27,Medium,Pass,Partial Pull
O101706,35.81,30,Low,Pass,No Pull
O101707,33.24,13,Medium,Pass,Partial Pull
O101708,51.44,16,Medium,Pass,Partial Pull
O101709,15.53,4,High,Rework,Full Pull
O101710,41.65,27,Medium,Pass,Partial Pull
O101711,35.86,23,Medium,Pass,Partial Pull
O101712,43.71,3,High,Fail,No Pull
O101713,46.38,16,Medium,Pass,Partial Pull
O101714,36.99,5,Medium,Pass,Partial Pull
O101715,39.69,18,Medium,Pass,Partial Pull
O101716,39.02,20,Low,Pass,No Pull
O101717,39.77,11,Medium,Pass,Partial Pull
O101718,38.57,13,Medium,Pass,Partial Pull
O101719,57.75,22,Medium,Rework,Partial Pull
O101720,16.58,4,Medium,Pass,Partial Pull
O101721,13.26,1,Medium,Pass,Partial Pull
O101722,46.65,12,Medium,Pass,Partial Pull
O101723,42.48,15,Medium,Pass,Partial Pull
O101724,29.64,8,Medium,Pass,Partial Pull
O101725,43.69,13,Medium,Pass,Partial Pull
O101726,11.55,3,High,Pass,Full Pull
O101727,76.47,23,Medium,Pass,Partial Pull
O101728,58.55,23,Medium,Pass,Partial Pull
O101729,26.28,8,Medium,Pass,Partial Pull
O101730,57.92,20,Medium,Pass,Partial Pull
O101731,45.53,7,High,Pass,Full Pull
O101732,24.59,12,Medium,Pass,Partial Pull
O101733,39.06,9,Medium,Pass,Partial Pull
O101734,83.57,30,Low,Rework,No Pull
O101735,50.78,14,Medium,Pass,Partial Pull
O101736,89.8,19,Medium,Pass,Partial Pull
O101737,32.5,6,Medium,Rework,Partial Pull
O101738,53.71,28,Medium,Pass,Partial Pull
O101739,46.15,21,Low,Pass,No Pull
O101740,16.52,3,High,Pass,Full Pull
O101741,45.52,10,Medium,Pass,Partial Pull
O101742,30.13,15,Medium,Pass,Partial Pull
O101743,29.33,13,Medium,Rework,Partial Pull
O101744,55.17,24,Low,Pass,No Pull
O101745,48.87,17,Medium,Rework,Partial Pull
O101746,30.59,17,Medium,Pass,Partial Pull
O101747,54.49,11,Medium,Pass,Partial Pull
O101748,56.93,26,Medium,Pass,Partial Pull
O101749,37.73,21,Medium,Pass,Partial Pull
O101750,50.1,21,Low,Pass,No Pull
O101751,41.69,20,Medium,Pass,Partial Pull
O101752,44.19,20,Medium,Pass,Partial Pull
O101753,49.61,23,Medium,Pass,Partial Pull
O101754,35.9,7,Medium,Pass,Partial Pull
O101755,37.77,16,Medium,Pass,Partial Pull
O101756,42.25,4,High,Pass,Full Pull
O101757,39.87,11,Medium,Pass,Partial Pull
O101758,24.81,9,High,Pass,Partial Pull
O101759,38.54,6,Medium,Pass,Partial Pull
O101760,45.63,16,Medium,Pass,Partial Pull
O101761,43.17,13,Medium,Pass,Partial Pull
O101762,28.24,14,Medium,Pass,Partial Pull
O101763,46.18,27,Low,Pass,No Pull
O101764,26.96,11,Medium,Pass,Partial Pull
O101765,7.69,3,High,Pass,Full Pull
O101766,67.15,24,Medium,Pass,Partial Pull
O101767,35.82,6,Medium,Pass,Partial Pull
O101768,40.8,30,Low,Pass,No Pull
O101769,47.1,20,Medium,Pass,Partial Pull
O101770,20.63,7,Medium,Fail,No Pull
O101771,24.85,17,Medium,Pass,Partial Pull
O101772,39.39,28,Low,Pass,No Pull
O101773,72.51,28,Low,Pass,No Pull
O101774,33.41,12,Medium,Pass,Partial Pull
O101775,24.51,0,High,Pass,Full Pull
O101776,18.14,2,High,Pass,Full Pull
O101777,30.14,27,Low,Pass,No Pull
O101778,21.47,20,Medium,Pass,Partial Pull
O101779,76.44,22,Low,Pass,No Pull
O101780,47.75,22,Medium,Pass,Partial Pull
O101781,31.48,24,Low,Pass,No Pull
O101782,37.28,15,Medium,Pass,Partial Pull
O101783,29.69,11,Medium,Pass,Partial Pull
O101784,17.8,7,Medium,Pass,Partial Pull
O101785,55.04,9,High,Pass,Partial Pull
O101786,33.33,23,Low,Pass,No Pull
O101787,28.8,0,High,Pass,Full Pull
O101788,32.29,4,Medium,Pass,Partial Pull
O101789,48.45,24,Medium,Pass,Partial Pull
O101790,29.0,20,Medium,Pass,Partial Pull
O101791,31.09,5,High,Rework,Full Pull
O101792,14.53,1,Medium,Fail,No Pull
O101793,25.5,7,Medium,Pass,Partial Pull
O101794,36.43,3,High,Pass,Full Pull
O101795,30.91,8,Medium,Pass,Partial Pull
O101796,36.34,25,Medium,Pass,Partial Pull
O101797,33.29,26,Medium,Pass,Partial Pull
O101798,27.25,8,Medium,Pass,Partial Pull
O101799,22.11,8,High,Pass,Full Pull
O101800,60.6,25,Medium,Fail,No Pull
O101801,45.72,13,Medium,Pass,Partial Pull
O101802,34.77,6,Medium,Pass,Partial Pull
O101803,40.97,23,Low,Pass,No Pull
O101804,35.88,15,Medium,Pass,Partial Pull
O101805,80.44,27,Low,Pass,No Pull
O101806,48.42,27,Low,Pass,No Pull
O101807,47.22,24,Medium,Pass,Partial Pull
O101808,51.73,30,Low,Pass,No Pull
O101809,39.87,16,Medium,Pass,Partial Pull
O101810,27.99,16,Medium,Pass,Partial Pull
O101811,17.83,0,Medium,Pass,Partial Pull
O101812,41.99,5,Medium,Rework,Partial Pull
O101813,23.62,4,Medium,Rework,Partial Pull
O101814,51.65,28,Medium,Pass,Partial Pull
O101815,27.18,7,High,Pass,Full Pull
O101816,22.38,19,Medium,Pass,Partial Pull
O101817,28.16,12,Medium,Rework,Partial Pull
O101818,38.4,23,Medium,Pass,Partial Pull
O101819,32.04,11,Medium,Pass,Partial Pull
O101820,63.18,29,Low,Pass,No Pull
O101821,49.11,15,Medium,Pass,Partial Pull
O101822,25.22,7,Medium,Pass,Partial Pull
O101823,32.32,12,Medium,Pass,Partial Pull
O101824,46.83,11,High,Pass,Partial Pull
O101825,64.94,22,Medium,Pass,Partial Pull
O101826,41.97,10,Medium,Pass,Partial Pull
O101827,27.32,1,Medium,Pass,Partial Pull
O101828,78.41,24,Medium,Pass,Partial Pull
O101829,50.62,30,Low,Pass,No Pull
O101830,16.33,7,High,Pass,Full Pull
O101831,55.04,26,Low,Pass,No Pull
O101832,20.24,1,High,Rework,Full Pull
O101833,23.34,10,Medium,Pass,Partial Pull
O101834,10.1,0,High,Pass,Full Pull
O101835,34.46,12,Medium,Rework,Partial Pull
O101836,41.26,18,Medium,Pass,Partial Pull
O101837,85.85,29,Medium,Rework,Partial Pull
O101838,60.32,26,Low,Pass,No Pull
O101839,54.11,29,Low,Pass,No Pull
O101840,32.78,20,Medium,Rework,Partial Pull
O101841,47.26,12,Medium,Pass,Partial Pull
O101842,47.01,28,Low,Pass,No Pull
O101843,30.99,1,High,Pass,Full Pull
O101844,60.54,25,Low,Pass,No Pull
O101845,59.92,30,Low,Pass,No Pull
O101846,19.84,0,High,Pass,Full Pull
O101847,46.89,20,Medium,Pass,Partial Pull
O101848,31.61,27,Medium,Pass,Partial Pull
O101849,43.78,21,Medium,Pass,Partial Pull
O101850,38.49,30,Low,Pass,No Pull
O101851,31.27,8,Medium,Pass,Partial Pull
O101852,41.33,19,Medium,Pass,Partial Pull
O101853,47.61,25,Medium,Pass,Partial Pull
O101854,37.51,2,High,Pass,Full Pull
O101855,45.05,17,Medium,Pass,Partial Pull
O101856,33.88,29,Medium,Pass,Partial Pull
O101857,20.35,14,Medium,Pass,Partial Pull
O101858,74.45,25,Medium,Pass,Partial Pull
O101859,59.53,22,Low,Pass,No Pull
O101860,36.58,8,Medium,Pass,Partial Pull
O101861,38.59,11,Medium,Pass,Partial Pull
O101862,41.29,15,Medium,Fail,No Pull
O101863,21.6,13,Medium,Fail,No Pull
O101864,26.75,18,Medium,Pass,Partial Pull
O101865,41.86,20,Low,Pass,No Pull
O101866,43.59,12,High,Rework,Partial Pull
O101867,39.82,19,Medium,Pass,Partial Pull
O101868,45.09,20,Medium,Pass,Partial Pull
O101869,63.43,30,Low,Pass,No Pull
O101870,35.37,25,Medium,Pass,Partial Pull
O101871,30.01,17,Medium,Pass,Partial Pull
O101872,30.44,5,Medium,Pass,Partial Pull
O101873,42.12,9,High,Rework,Partial Pull
O101874,46.6,10,Medium,Pass,Partial Pull
O101875,40.86,8,Medium,Rework,Partial Pull
O101876,42.96,29,Low,Fail,No Pull
O101877,34.06,16,Medium,Pass,Partial Pull
O101878,50.35,30,Low,Pass,No Pull
O101879,18.91,3,High,Pass,Full Pull
O101880,38.26,22,Medium,Pass,Partial Pull
O101881,62.98,18,Medium,Pass,Partial Pull
O101882,43.9,23,Medium,Fail,No Pull
O101883,49.45,12,Medium,Rework,Partial Pull
O101884,27.27,16,Medium,Pass,Partial Pull
O101885,29.55,10,Medium,Pass,Partial Pull
O101886,40.83,21,Medium,Pass,Partial Pull
O101887,18.07,5,Medium,Pass,Partial Pull
O101888,33.4,20,Medium,Rework,Partial Pull
O101889,38.61,15,Low,Pass,Partial Pull
O101890,55.48,24,Low,Pass,No Pull
O101891,19.56,1,High,Pass,Full Pull
O101892,22.92,5,High,Pass,Full Pull
O101893,45.71,18,Medium,Rework,Partial Pull
O101894,38.64,11,Medium,Rework,Partial Pull
O101895,33.66,8,Medium,Pass,Partial Pull
O101896,50.27,28,Low,Rework,No Pull
O101897,54.34,28,Low,Pass,No Pull
O101898,10.23,2,Medium,Pass,Partial Pull
O101899,41.04,16,Medium,Pass,Partial Pull
O101900,35.82,20,Medium,Pass,Partial Pull
O101901,57.0,24,Low,Pass,No Pull
O101902,29.01,6,Medium,Pass,Partial Pull
O101903,52.93,26,Medium,Pass,Partial Pull
O101904,55.89,20,Medium,Pass,Partial Pull
O101905,45.74,27,Medium,Pass,Partial Pull
O101906,57.87,21,Medium,Rework,Partial Pull
O101907,46.68,26,Medium,Pass,Partial Pull
O101908,26.01,0,High,Pass,Full Pull
O101909,33.35,6,High,Rework,Full Pull
O101910,38.47,16,Medium,Pass,Partial Pull
O101911,37.84,9,High,Pass,Partial Pull
O101912,48.49,6,High,Pass,Partial Pull
O101913,30.77,21,Low,Pass,No Pull
O101914,74.65,30,Low,Fail,No Pull
