order_id,workstation_id,product_type,batch_size,wip_level,machine_utilization_pct,operator_skill,setup_condition,machine_condition,setup_time_min,processing_time_min,queue_delay_min,breakdown_event,breakdown_delay_min,cycle_time_min
O100869,WS5,Custom,77,7,74.5,2,Good,Critical,4.71,33.5,10.15,0,0.0,52.61
O100870,WS2,Standard,19,21,95.5,1,Normal,Healthy,5.73,5.87,28.72,0,0.0,38.13
O100871,WS6,Standard,97,13,99.0,3,Good,Healthy,5.69,32.76,11.66,0,0.0,47.07
O100872,WS1,Standard,31,28,56.9,5,Poor,Degraded,9.61,9.45,44.61,0,0.0,61.8
O100873,WS3,Standard,20,30,75.4,5,Good,Healthy,3.88,5.56,42.56,0,0.0,53.1
O100874,WS4,Custom,19,13,52.6,1,Normal,Critical,6.45,10.39,18.21,0,0.0,31.18
O100875,WS4,Standard,38,8,87.9,4,Poor,Healthy,8.56,14.33,7.23,0,0.0,31.04
O100876,WS4,Custom,48,25,71.8,1,Good,Healthy,2.62,14.06,23.89,0,0.0,39.78
O100877,WS3,Custom,17,22,74.3,2,Good,Healthy,6.38,5.52,31.23,0,0.0,42.97
O100878,WS5,Standard,66,5,93.8,3,Normal,Healthy,8.07,24.07,3.73,0,0.0,36.7
O100879,WS1,Standard,65,29,64.1,1,Normal,Degraded,6.95,16.83,36.47,0,0.0,59.55
O100880,WS5,Premium,80,6,61.0,1,Good,Healthy,5.0,24.36,6.37,0,0.0,35.48
O100881,WS1,Standard,11,17,52.7,5,Normal,Degraded,7.37,3.5,25.3,0,0.0,36.25
O100882,WS5,Standard,18,5,95.2,4,Poor,Degraded,9.25,8.69,6.71,0,0.0,26.5
O100883,WS5,Standard,28,15,92.5,4,Normal,Degraded,5.33,15.3,18.38,0,0.0,38.8
O100884,WS5,Premium,49,19,76.5,3,Good,Degraded,4.64,21.13,28.27,0,0.0,51.1
O100885,WS2,Premium,63,3,64.7,3,Good,Healthy,3.39,15.79,4.42,0,0.0,24.1
O100886,WS5,Custom,28,8,90.0,1,Good,Healthy,4.5,11.23,12.36,0,0.0,29.13
O100887,WS5,Standard,42,23,99.0,3,Good,Degraded,5.54,16.04,16.93,0,0.0,42.85
O100888,WS6,Premium,56,29,77.2,4,Good,Healthy,5.36,19.38,31.95,0,0.0,56.99
O100889,WS1,Standard,59,28,65.6,2,Normal,Healthy,5.62,7.99,36.69,0,0.0,51.92
O100890,WS5,Custom,57,23,94.9,3,Good,Healthy,5.51,18.33,24.7,0,0.0,48.68
O100891,WS4,Premium,68,30,66.4,3,Poor,Healthy,13.75,23.84,40.38,0,0.0,78.31
O100892,WS6,Standard,78,5,75.6,5,Good,Degraded,3.91,25.72,5.16,0,0.0,37.08
O100893,WS3,Premium,86,6,48.3,1,Good,Healthy,4.11,19.25,4.36,0,0.0,31.37
O100894,WS2,Standard,97,12,76.4,1,Normal,Degraded,5.14,24.89,13.52,0,0.0,44.53
O100895,WS6,Premium,45,28,64.7,2,Poor,Critical,13.08,29.35,18.51,0,0.0,63.27
O100896,WS2,Standard,39,24,95.1,1,Good,Healthy,3.68,11.3,34.43,0,0.0,44.74
O100897,WS5,Standard,35,11,68.3,5,Good,Degraded,4.75,13.09,7.15,0,0.0,22.97
O100898,WS2,Custom,41,0,89.4,2,Good,Healthy,4.19,12.03,0.0,0,0.0,15.1
O100899,WS6,Standard,59,19,78.7,2,Normal,Healthy,5.59,21.68,15.46,0,0.0,43.42
O100900,WS4,Standard,64,9,81.5,2,Normal,Healthy,9.39,17.58,11.26,0,0.0,36.29
O100901,WS2,Standard,16,6,86.3,5,Good,Healthy,2.73,3.5,8.64,0,0.0,14.06
O100902,WS5,Custom,100,6,79.4,4,Good,Healthy,3.59,24.37,9.01,0,0.0,37.17
O100903,WS1,Premium,13,7,72.2,3,Normal,Healthy,7.44,5.25,7.49,0,0.0,21.99
O100904,WS1,Standard,46,9,70.3,4,Poor,Healthy,12.38,8.73,6.13,0,0.0,27.5
O100905,WS5,Standard,51,19,86.1,1,Normal,Healthy,4.94,18.31,22.77,0,0.0,47.21
O100906,WS2,Standard,41,5,57.2,4,Normal,Degraded,8.94,10.9,5.69,0,0.0,25.14
O100907,WS1,Standard,29,15,99.0,2,Good,Healthy,2.29,5.95,11.39,0,0.0,18.56
O100908,WS4,Standard,58,28,81.6,2,Good,Degraded,3.15,18.22,23.96,0,0.0,48.02
O100909,WS2,Custom,10,29,76.0,1,Good,Degraded,3.16,4.73,42.18,0,0.0,50.4
O100910,WS6,Standard,77,25,83.2,1,Normal,Degraded,6.93,31.69,28.42,0,0.0,64.92
O100911,WS5,Standard,71,8,72.9,4,Poor,Healthy,10.99,24.1,7.98,0,0.0,42.71
O100912,WS6,Standard,80,4,77.9,5,Poor,Degraded,10.26,32.14,5.52,0,0.0,49.72
O100913,WS5,Premium,84,27,66.4,5,Poor,Degraded,15.48,33.18,33.3,0,0.0,79.57
O100914,WS6,Standard,90,12,84.5,2,Poor,Critical,12.97,46.62,10.39,1,21.94,90.19
O100915,WS2,Custom,23,14,79.1,4,Poor,Critical,8.13,10.89,17.11,0,0.0,34.27
O100916,WS4,Standard,85,13,82.2,1,Good,Healthy,4.16,21.85,12.54,1,19.6,58.74
O100917,WS6,Standard,61,4,97.8,4,Good,Healthy,4.99,19.41,5.54,0,0.0,28.93
O100918,WS4,Custom,21,22,70.3,3,Good,Degraded,4.32,9.1,25.83,0,0.0,36.9
O100919,WS6,Standard,99,7,78.5,5,Normal,Healthy,7.14,25.89,4.34,0,0.0,35.15
O100920,WS6,Standard,83,7,60.2,1,Good,Healthy,2.56,25.86,6.21,0,0.0,36.58
O100921,WS1,Standard,34,23,86.6,4,Normal,Degraded,5.97,7.49,30.35,0,0.0,43.76
O100922,WS3,Premium,91,22,79.8,3,Normal,Degraded,3.83,29.32,20.36,0,0.0,54.17
O100923,WS2,Custom,76,25,80.2,3,Normal,Healthy,9.37,18.61,20.47,0,0.0,48.05
O100924,WS6,Premium,50,21,78.1,3,Good,Healthy,4.4,20.72,29.41,0,0.0,51.98
O100925,WS6,Standard,24,1,73.1,4,Good,Healthy,4.13,7.93,1.58,0,0.0,14.96
O100926,WS4,Standard,76,12,99.0,3,Good,Healthy,5.7,19.84,7.82,0,0.0,32.31
O100927,WS1,Standard,94,12,80.5,3,Poor,Degraded,9.08,23.23,8.52,0,0.0,41.64
O100928,WS3,Standard,27,9,83.6,3,Normal,Degraded,6.77,10.47,6.85,0,0.0,23.28
O100929,WS2,Standard,10,15,66.3,1,Normal,Healthy,7.54,4.65,10.64,0,0.0,21.43
O100930,WS4,Standard,30,15,90.6,4,Good,Healthy,4.97,10.17,11.09,0,0.0,26.95
O100931,WS6,Standard,36,19,78.5,4,Good,Degraded,4.81,15.46,11.65,0,0.0,31.06
O100932,WS3,Premium,44,29,85.3,3,Good,Degraded,4.26,15.89,24.86,0,0.0,48.39
O100933,WS5,Premium,98,20,90.8,4,Normal,Healthy,7.78,32.93,18.0,0,0.0,60.82
O100934,WS5,Custom,97,28,78.8,2,Normal,Healthy,6.46,30.5,29.76,0,0.0,64.3
O100935,WS5,Standard,71,25,71.9,2,Good,Healthy,3.08,21.37,21.19,0,0.0,45.8
O100936,WS1,Standard,29,22,52.1,5,Poor,Degraded,11.75,7.81,19.65,1,2.57,41.32
O100937,WS2,Standard,29,8,75.4,5,Good,Healthy,4.9,4.76,5.25,0,0.0,13.62
O100938,WS2,Premium,17,17,71.8,5,Poor,Healthy,9.26,7.94,25.8,0,0.0,41.37
O100939,WS2,Standard,82,3,66.3,1,Good,Degraded,4.3,19.34,2.15,0,0.0,24.98
O100940,WS1,Standard,30,28,97.4,3,Good,Degraded,4.33,8.1,23.1,0,0.0,38.15
O100941,WS4,Custom,91,5,91.8,4,Normal,Degraded,8.17,29.6,4.32,1,4.07,46.97
O100942,WS5,Standard,64,7,58.0,1,Good,Healthy,3.31,19.83,10.14,0,0.0,33.44
O100943,WS2,Custom,54,29,81.8,5,Good,Healthy,3.38,12.1,30.94,0,0.0,43.99
O100944,WS4,Standard,94,3,70.2,4,Good,Critical,4.81,29.8,2.82,0,0.0,30.93
O100945,WS4,Standard,24,16,84.4,2,Good,Critical,4.51,11.89,14.59,0,0.0,29.07
O100946,WS1,Premium,52,17,70.4,3,Normal,Critical,6.61,16.23,18.97,0,0.0,44.34
O100947,WS2,Standard,33,6,73.5,5,Poor,Degraded,13.9,9.17,4.22,0,0.0,26.51
O100948,WS2,Standard,26,12,91.6,5,Poor,Healthy,9.37,8.42,18.22,0,0.0,34.97
O100949,WS3,Standard,95,24,89.8,5,Good,Healthy,4.21,21.06,23.96,0,0.0,50.53
O100950,WS4,Standard,65,22,98.1,5,Normal,Healthy,6.3,17.43,21.0,0,0.0,44.79
O100951,WS2,Standard,24,18,77.4,4,Good,Critical,3.43,8.84,22.39,0,0.0,33.31
O100952,WS1,Standard,19,16,62.5,5,Good,Healthy,2.23,6.0,13.38,0,0.0,22.43
O100953,WS2,Standard,38,11,91.1,5,Good,Degraded,2.65,8.09,13.24,0,0.0,24.95
O100954,WS1,Standard,85,19,91.1,1,Poor,Degraded,11.07,23.97,26.27,0,0.0,65.42
O100955,WS5,Premium,23,0,87.5,4,Poor,Critical,9.93,17.5,0.0,0,0.0,29.78
O100956,WS5,Standard,77,2,71.1,2,Normal,Critical,7.97,31.94,2.18,0,0.0,41.46
O100957,WS4,Premium,19,24,67.2,3,Normal,Healthy,7.64,5.82,23.07,0,0.0,36.5
O100958,WS4,Standard,40,5,86.4,1,Normal,Healthy,7.7,12.79,5.95,0,0.0,24.07
O100959,WS2,Standard,57,22,69.4,4,Normal,Critical,4.75,14.42,29.85,0,0.0,48.65
O100960,WS1,Standard,21,0,76.3,5,Normal,Healthy,7.59,3.56,0.0,0,0.0,12.02
O100961,WS4,Standard,46,8,99.0,3,Good,Healthy,5.18,14.79,5.87,0,0.0,25.77
O100962,WS5,Custom,34,29,99.0,4,Good,Critical,5.53,17.29,36.35,0,0.0,57.06
O100963,WS5,Standard,14,8,89.5,2,Good,Degraded,5.38,8.32,6.14,0,0.0,18.68
O100964,WS5,Standard,10,30,72.1,4,Poor,Healthy,13.41,6.31,29.04,1,16.02,63.51
O100965,WS4,Standard,23,8,71.3,1,Normal,Healthy,7.84,7.19,6.42,0,0.0,22.52
O100966,WS5,Custom,78,19,88.6,5,Poor,Healthy,13.07,28.23,20.09,0,0.0,62.41
O100967,WS5,Premium,13,20,98.0,2,Good,Critical,4.12,7.82,24.19,0,0.0,36.28
O100968,WS6,Standard,56,19,73.9,3,Normal,Healthy,8.19,20.07,19.77,0,0.0,48.9
O100969,WS1,Custom,12,9,74.5,5,Good,Healthy,2.91,3.84,6.6,0,0.0,12.8
O100970,WS1,Standard,29,23,81.1,1,Good,Healthy,2.01,6.7,15.06,0,0.0,22.2
O100971,WS4,Standard,26,9,63.3,5,Good,Degraded,2.43,6.47,7.75,0,0.0,16.2
O100972,WS3,Custom,40,25,63.7,4,Good,Degraded,3.77,10.11,20.18,0,0.0,34.22
O100973,WS3,Custom,77,11,65.9,5,Poor,Healthy,7.37,23.52,14.88,0,0.0,46.22
O100974,WS5,Standard,48,25,86.6,3,Good,Healthy,4.45,16.04,22.15,0,0.0,41.57
O100975,WS4,Standard,11,30,83.3,2,Normal,Healthy,6.98,4.65,28.79,0,0.0,37.31
O100976,WS4,Standard,23,23,93.6,3,Normal,Healthy,7.64,9.89,22.87,0,0.0,40.73
O100977,WS1,Standard,37,14,59.2,3,Good,Healthy,3.88,8.98,18.24,1,7.31,35.04
O100978,WS3,Custom,35,13,61.8,5,Normal,Healthy,6.76,11.14,14.16,0,0.0,31.36
O100979,WS4,Custom,61,11,85.5,3,Good,Healthy,4.62,17.27,8.8,0,0.0,27.77
O100980,WS2,Standard,41,10,69.5,3,Poor,Healthy,12.95,11.08,7.78,0,0.0,33.76
O100981,WS2,Premium,77,14,70.4,1,Normal,Healthy,6.64,20.62,12.77,0,0.0,41.4
O100982,WS4,Premium,32,15,92.2,2,Normal,Healthy,7.91,12.93,15.44,0,0.0,37.78
O100983,WS6,Standard,71,22,73.4,3,Normal,Healthy,5.69,24.98,21.22,0,0.0,49.64
O100984,WS1,Standard,19,27,74.8,2,Good,Degraded,4.01,5.7,32.05,1,16.71,55.8
O100985,WS2,Standard,99,27,77.0,2,Poor,Healthy,11.61,24.59,35.6,0,0.0,75.58
O100986,WS1,Premium,99,18,77.7,1,Good,Healthy,5.75,21.14,24.31,0,0.0,51.37
O100987,WS2,Standard,35,30,88.2,5,Good,Critical,3.19,9.68,29.9,0,0.0,39.31
O100988,WS5,Standard,31,27,65.5,5,Good,Healthy,5.05,9.67,28.59,0,0.0,42.51
O100989,WS2,Premium,10,15,77.7,2,Normal,Degraded,9.64,6.3,23.29,0,0.0,37.58
O100990,WS3,Standard,98,12,93.9,1,Normal,Healthy,9.0,24.04,14.65,0,0.0,48.95
O100991,WS6,Premium,13,14,99.0,5,Normal,Degraded,6.9,8.39,16.83,0,0.0,30.05
O100992,WS3,Custom,10,0,63.7,5,Normal,Healthy,8.33,5.26,0.0,0,0.0,12.64
O100993,WS4,Standard,18,10,84.0,5,Good,Healthy,4.29,7.87,6.54,0,0.0,19.86
O100994,WS6,Custom,36,11,77.7,3,Poor,Degraded,11.37,16.47,7.71,0,0.0,35.93
O100995,WS3,Custom,98,24,78.8,4,Good,Degraded,2.94,26.17,21.03,0,0.0,49.27
O100996,WS1,Standard,25,8,70.5,4,Normal,Healthy,7.36,3.5,11.47,0,0.0,20.33
O100997,WS1,Custom,61,20,89.1,2,Good,Degraded,4.12,15.16,21.2,0,0.0,40.9
O100998,WS6,Standard,69,9,88.5,3,Poor,Healthy,13.27,26.42,11.47,0,0.0,47.72
O100999,WS6,Custom,82,11,99.0,2,Good,Degraded,4.11,33.64,8.49,0,0.0,46.8
O101000,WS2,Custom,73,2,64.1,4,Good,Degraded,3.1,16.9,2.18,0,0.0,22.17
O101001,WS4,Premium,99,16,59.0,5,Normal,Healthy,6.4,25.19,22.67,0,0.0,53.61
O101002,WS1,Custom,70,3,99.0,1,Good,Degraded,4.35,19.77,4.69,0,0.0,26.95
O101003,WS2,Premium,86,6,79.4,1,Good,Critical,4.71,26.25,3.82,0,0.0,35.35
O101004,WS6,Standard,39,15,74.5,2,Normal,Degraded,6.47,19.42,14.08,0,0.0,40.36
O101005,WS3,Standard,47,21,82.3,1,Good,Healthy,3.13,12.36,19.09,0,0.0,32.96
O101006,WS2,Standard,77,12,63.3,1,Poor,Degraded,11.69,21.81,12.36,0,0.0,41.49
O101007,WS4,Standard,89,7,84.5,5,Good,Healthy,4.66,22.11,9.51,0,0.0,36.32
O101008,WS6,Premium,10,27,79.0,3,Normal,Healthy,8.37,7.38,17.62,0,0.0,35.37
O101009,WS5,Standard,49,10,92.9,4,Normal,Degraded,9.45,17.35,15.33,0,0.0,41.51
O101010,WS4,Standard,83,9,90.3,3,Normal,Healthy,5.57,22.5,13.09,0,0.0,40.49
O101011,WS5,Standard,20,2,91.3,4,Normal,Degraded,4.18,8.94,1.34,0,0.0,14.84
O101012,WS5,Premium,42,10,82.3,4,Normal,Degraded,6.48,18.55,9.37,0,0.0,32.85
O101013,WS6,Standard,59,6,99.0,1,Poor,Healthy,8.77,27.45,6.64,0,0.0,42.35
O101014,WS4,Premium,17,10,86.9,1,Good,Critical,3.25,11.02,11.72,0,0.0,27.77
O101015,WS4,Standard,93,6,73.6,3,Good,Healthy,2.61,19.73,7.45,0,0.0,30.13
O101016,WS6,Standard,43,6,70.3,2,Normal,Healthy,6.13,16.21,6.62,0,0.0,31.98
O101017,WS3,Standard,81,22,71.6,5,Normal,Healthy,7.43,17.05,30.73,0,0.0,55.5
O101018,WS3,Premium,48,14,87.1,2,Good,Healthy,3.94,15.11,21.6,0,0.0,41.71
O101019,WS6,Standard,46,21,64.0,2,Good,Degraded,5.63,17.94,20.99,0,0.0,43.6
O101020,WS6,Standard,97,17,81.9,3,Poor,Healthy,9.13,36.49,19.9,0,0.0,65.02
O101021,WS3,Standard,87,16,70.0,1,Normal,Critical,8.15,28.87,23.46,0,0.0,60.78
O101022,WS4,Standard,56,14,65.0,5,Poor,Critical,9.12,23.18,19.48,0,0.0,53.95
O101023,WS5,Standard,52,11,66.9,1,Normal,Degraded,6.7,20.42,9.47,0,0.0,36.28
O101024,WS3,Standard,81,8,79.7,5,Normal,Healthy,8.08,16.7,5.08,0,0.0,31.46
O101025,WS3,Standard,72,27,89.2,4,Good,Degraded,3.69,18.45,33.08,0,0.0,57.45
O101026,WS1,Custom,99,12,71.9,5,Poor,Healthy,11.24,19.28,12.14,0,0.0,46.18
O101027,WS2,Standard,40,27,55.1,2,Good,Degraded,5.36,11.06,16.76,0,0.0,33.49
O101028,WS2,Standard,20,23,99.0,5,Normal,Healthy,3.37,7.12,14.12,0,0.0,25.32
O101029,WS3,Premium,27,18,93.4,5,Good,Critical,3.15,11.99,27.14,0,0.0,41.31
O101030,WS5,Custom,58,26,91.2,3,Normal,Healthy,6.95,21.22,17.97,0,0.0,46.75
O101031,WS1,Custom,38,20,99.0,2,Normal,Healthy,8.94,8.5,28.36,0,0.0,46.7
O101032,WS1,Standard,83,25,81.1,1,Normal,Critical,7.63,22.37,33.51,0,0.0,63.25
O101033,WS4,Standard,89,24,78.4,1,Poor,Healthy,14.92,24.84,27.95,0,0.0,65.34
O101034,WS1,Standard,27,20,96.3,3,Good,Degraded,6.01,8.59,27.98,0,0.0,41.94
O101035,WS6,Standard,100,22,96.2,5,Normal,Degraded,7.49,38.64,26.77,0,0.0,68.38
O101036,WS2,Standard,67,25,87.4,3,Good,Healthy,5.68,13.59,28.13,0,0.0,47.2
O101037,WS5,Standard,34,6,90.6,5,Good,Healthy,3.89,11.5,3.95,0,0.0,17.37
O101038,WS3,Standard,28,27,65.1,4,Good,Healthy,3.12,7.82,20.16,0,0.0,31.82
O101039,WS6,Standard,25,15,76.9,4,Good,Degraded,2.96,9.89,19.57,0,0.0,36.5
O101040,WS3,Standard,52,3,99.0,4,Good,Critical,5.42,17.98,3.87,0,0.0,28.95
O101041,WS6,Standard,16,4,89.7,5,Normal,Healthy,4.81,8.23,5.13,0,0.0,16.88
O101042,WS3,Standard,21,23,62.5,5,Normal,Degraded,7.54,7.3,29.6,0,0.0,46.44
O101043,WS5,Standard,78,25,73.6,1,Normal,Healthy,7.6,24.29,29.0,0,0.0,61.45
O101044,WS1,Standard,54,20,98.5,3,Good,Healthy,3.63,10.79,26.11,0,0.0,41.67
O101045,WS3,Custom,58,20,85.5,3,Good,Degraded,4.45,16.7,21.37,0,0.0,42.19
O101046,WS2,Standard,39,26,82.2,5,Good,Degraded,3.01,10.89,26.23,0,0.0,41.95
O101047,WS5,Standard,60,30,82.5,2,Normal,Healthy,4.85,22.08,19.09,0,0.0,44.55
O101048,WS4,Standard,41,25,79.0,5,Poor,Healthy,6.74,11.33,34.0,0,0.0,48.77
O101049,WS4,Custom,14,4,73.7,3,Good,Healthy,4.09,3.5,3.89,1,11.34,21.72
O101050,WS2,Standard,61,24,70.0,5,Normal,Healthy,8.71,11.16,35.89,0,0.0,56.36
O101051,WS1,Standard,17,15,92.1,4,Good,Healthy,5.62,3.9,14.03,0,0.0,22.53
O101052,WS4,Standard,72,24,82.9,2,Good,Degraded,5.65,21.39,26.56,0,0.0,55.08
O101053,WS3,Premium,93,22,88.5,5,Good,Healthy,4.3,22.09,31.24,0,0.0,57.99
O101054,WS3,Standard,70,21,86.6,1,Good,Healthy,3.04,17.48,32.09,0,0.0,51.69
O101055,WS6,Standard,62,26,96.9,1,Normal,Degraded,8.81,28.47,37.31,0,0.0,74.68
O101056,WS1,Custom,97,4,85.5,3,Poor,Healthy,14.94,23.79,5.58,0,0.0,38.67
O101057,WS4,Standard,29,26,89.9,2,Good,Healthy,1.22,8.62,21.84,0,0.0,32.78
O101058,WS1,Standard,80,10,82.0,1,Normal,Critical,7.23,23.38,6.59,0,0.0,37.63
O101059,WS4,Custom,28,6,68.6,5,Normal,Healthy,5.1,11.68,5.59,0,0.0,20.92
O101060,WS4,Premium,10,22,77.3,1,Poor,Healthy,11.49,4.42,17.76,0,0.0,35.4
O101061,WS5,Standard,31,30,87.1,3,Normal,Healthy,7.96,9.66,42.84,0,0.0,59.59
O101062,WS5,Custom,55,2,88.1,2,Good,Healthy,5.31,19.21,3.14,0,0.0,27.94
O101063,WS1,Standard,15,30,97.4,2,Normal,Healthy,4.6,5.54,20.18,0,0.0,29.68
O101064,WS2,Custom,35,10,74.5,2,Good,Healthy,4.93,9.32,13.09,0,0.0,24.19
O101065,WS2,Custom,14,30,82.7,2,Poor,Healthy,8.1,3.5,39.49,0,0.0,50.49
O101066,WS4,Custom,32,1,78.5,4,Good,Degraded,4.18,9.75,0.67,0,0.0,11.37
O101067,WS2,Standard,75,19,99.0,2,Normal,Healthy,7.05,17.51,25.51,0,0.0,50.15
O101068,WS3,Standard,23,16,84.5,4,Good,Healthy,2.7,7.31,25.35,0,0.0,35.5
O101069,WS3,Custom,34,25,84.7,3,Good,Healthy,3.33,9.78,21.05,0,0.0,34.9
O101070,WS4,Standard,22,14,79.6,4,Poor,Critical,13.1,12.47,14.56,0,0.0,38.77
O101071,WS3,Premium,44,2,77.3,3,Normal,Healthy,9.56,14.15,1.79,0,0.0,23.63
O101072,WS6,Standard,79,5,62.6,2,Good,Degraded,2.55,27.97,6.69,0,0.0,37.84
O101073,WS6,Premium,58,7,64.9,3,Poor,Healthy,12.86,24.47,9.03,0,0.0,42.3
O101074,WS3,Standard,28,27,82.1,4,Poor,Critical,11.19,13.5,29.1,0,0.0,54.09
O101075,WS6,Standard,39,2,80.6,3,Good,Healthy,3.73,15.95,1.96,0,0.0,23.69
O101076,WS5,Premium,70,26,82.2,5,Normal,Healthy,8.43,22.41,36.68,0,0.0,66.72
O101077,WS2,Standard,53,15,91.3,3,Normal,Healthy,7.59,12.41,10.54,0,0.0,32.52
O101078,WS4,Standard,51,17,81.1,2,Normal,Healthy,5.84,15.73,25.57,0,0.0,47.74
O101079,WS3,Standard,88,29,75.8,1,Good,Degraded,5.37,21.68,29.42,0,0.0,58.75
O101080,WS5,Standard,84,23,77.5,2,Good,Degraded,3.99,25.46,26.96,0,0.0,57.39
O101081,WS6,Premium,32,20,82.9,1,Poor,Degraded,11.49,21.48,23.91,1,7.58,63.89
O101082,WS4,Custom,74,25,75.4,1,Poor,Healthy,12.87,25.59,35.11,0,0.0,73.44
O101083,WS4,Custom,82,14,92.8,2,Normal,Degraded,7.84,30.06,10.19,1,4.27,51.24
O101084,WS5,Standard,91,28,79.9,2,Poor,Healthy,12.88,29.99,22.2,0,0.0,63.59
O101085,WS3,Standard,34,24,83.0,5,Normal,Critical,9.53,13.11,26.93,0,0.0,50.38
O101086,WS3,Custom,76,30,70.2,4,Normal,Degraded,5.43,22.96,37.81,0,0.0,66.02
O101087,WS4,Standard,27,17,92.8,4,Normal,Healthy,5.55,10.92,13.01,0,0.0,28.12
O101088,WS5,Standard,50,19,97.3,3,Normal,Degraded,5.06,20.51,16.5,0,0.0,44.16
O101089,WS4,Standard,16,14,63.6,1,Normal,Healthy,8.26,6.53,13.17,0,0.0,28.79
O101090,WS1,Custom,64,28,84.8,5,Good,Healthy,3.4,11.09,39.2,0,0.0,48.91
O101091,WS1,Standard,72,19,78.7,3,Normal,Healthy,4.28,14.32,18.68,0,0.0,38.31
O101092,WS3,Standard,50,4,83.4,3,Good,Degraded,4.0,16.37,6.13,0,0.0,25.15
O101093,WS4,Premium,47,15,85.4,4,Good,Healthy,5.0,16.39,13.92,0,0.0,37.13
O101094,WS3,Standard,32,4,53.2,1,Normal,Healthy,8.19,9.17,2.96,1,12.47,34.3
O101095,WS3,Standard,80,19,89.1,3,Good,Degraded,5.0,21.54,13.31,0,0.0,41.92
O101096,WS6,Standard,92,21,93.3,4,Good,Healthy,5.38,26.59,27.36,0,0.0,60.53
O101097,WS6,Standard,22,24,94.7,4,Normal,Degraded,9.57,10.77,30.99,0,0.0,53.49
O101098,WS3,Custom,35,4,68.7,3,Poor,Healthy,15.15,11.8,5.29,0,0.0,28.27
O101099,WS5,Standard,64,14,79.6,5,Good,Healthy,3.69,17.63,13.86,0,0.0,32.23
O101100,WS3,Standard,43,10,73.5,5,Good,Degraded,5.8,12.56,9.67,0,0.0,29.67
O101101,WS4,Standard,11,12,57.0,1,Good,Healthy,4.03,4.16,7.28,0,0.0,13.01
O101102,WS2,Standard,11,29,72.6,1,Normal,Degraded,6.34,5.17,28.18,0,0.0,39.04
O101103,WS3,Standard,31,17,67.0,3,Normal,Healthy,8.24,5.88,11.45,0,0.0,27.15
O101104,WS4,Standard,98,13,84.0,5,Good,Degraded,5.67,25.13,15.45,0,0.0,50.81
O101105,WS3,Standard,65,28,60.4,3,Normal,Healthy,4.82,14.42,18.95,0,0.0,38.74
O101106,WS5,Standard,33,16,68.2,2,Good,Degraded,3.81,11.35,23.76,0,0.0,39.1
O101107,WS2,Standard,15,13,73.8,3,Good,Healthy,5.18,4.94,14.61,0,0.0,21.05
O101108,WS1,Standard,78,16,89.2,5,Poor,Healthy,11.68,18.36,22.8,0,0.0,53.54
O101109,WS6,Custom,44,26,99.0,1,Good,Healthy,4.43,19.13,30.69,0,0.0,54.19
O101110,WS3,Standard,45,14,83.6,3,Good,Healthy,3.72,12.66,17.01,0,0.0,35.03
O101111,WS2,Standard,61,19,67.6,4,Good,Healthy,3.33,11.39,25.82,0,0.0,41.54
O101112,WS3,Standard,30,5,71.9,2,Normal,Healthy,4.31,11.64,3.53,0,0.0,21.21
O101113,WS2,Standard,76,0,87.9,1,Poor,Healthy,12.13,18.94,0.0,0,0.0,29.12
O101114,WS5,Custom,38,2,63.8,4,Poor,Degraded,14.45,17.65,3.02,1,0.52,37.07
O101115,WS2,Standard,74,14,93.2,4,Good,Healthy,5.02,16.06,10.51,0,0.0,30.52
O101116,WS6,Custom,57,22,83.3,4,Good,Healthy,3.0,19.92,33.69,0,0.0,54.61
O101117,WS2,Standard,23,6,78.5,4,Normal,Healthy,7.48,8.14,4.26,0,0.0,19.27
O101118,WS3,Standard,66,29,59.8,4,Good,Healthy,4.26,11.13,35.73,0,0.0,51.15
O101119,WS4,Custom,16,4,91.0,2,Poor,Degraded,12.31,9.65,5.64,0,0.0,27.94
O101120,WS1,Standard,75,21,70.9,1,Normal,Degraded,3.98,16.91,28.0,0,0.0,46.59
O101121,WS1,Standard,44,7,81.8,5,Good,Healthy,2.48,8.28,9.68,0,0.0,22.6
O101122,WS2,Standard,71,1,78.1,2,Normal,Degraded,8.9,16.73,0.96,0,0.0,28.05
O101123,WS1,Custom,31,22,61.0,5,Good,Healthy,3.34,6.08,33.53,0,0.0,44.97
O101124,WS5,Standard,47,16,77.2,3,Good,Critical,4.98,19.47,18.16,0,0.0,45.57
O101125,WS6,Custom,37,19,65.5,3,Normal,Healthy,8.28,15.4,15.21,0,0.0,37.94
O101126,WS3,Standard,32,29,72.2,1,Normal,Healthy,6.8,11.26,43.69,0,0.0,64.26
O101127,WS3,Custom,41,16,85.2,5,Normal,Healthy,6.35,12.1,22.94,0,0.0,40.49
O101128,WS4,Standard,14,26,88.4,3,Normal,Healthy,6.49,6.41,31.68,0,0.0,45.12
O101129,WS1,Standard,46,15,79.8,5,Poor,Degraded,12.31,14.01,15.26,0,0.0,43.08
O101130,WS3,Standard,21,10,69.4,4,Poor,Healthy,10.12,8.93,14.3,0,0.0,33.31
O101131,WS6,Standard,57,12,72.2,1,Normal,Healthy,7.0,18.29,16.58,0,0.0,43.29
O101132,WS2,Standard,18,10,72.0,5,Good,Healthy,4.31,5.64,11.25,0,0.0,19.76
O101133,WS1,Custom,10,27,54.4,3,Normal,Critical,7.56,5.2,22.8,0,0.0,35.69
